Source Function,Target Function
"mintFish(address[],uint32[],uint8[],uint8[],uint8[],bytes16[])","attack(uint256,uint256)"
batchResolveAquarium(uint256[]),"attack(uint256,uint256)"
"transferFrom(address,address,uint256)","attack(uint256,uint256)"
"applyBooster(uint256,uint256)","attack(uint256,uint256)"
addHash(bytes32[]),"attack(uint256,uint256)"
"attack(uint256,uint256)","approve(address,uint256)"
"mintFish(address[],uint32[],uint8[],uint8[],uint8[],bytes16[])","approve(address,uint256)"
batchResolveAquarium(uint256[]),"approve(address,uint256)"
"transferFrom(address,address,uint256)","approve(address,uint256)"
"applyBooster(uint256,uint256)","approve(address,uint256)"
addHash(bytes32[]),"approve(address,uint256)"
"attack(uint256,uint256)",batchResolveAquarium(uint256[])
"mintFish(address[],uint32[],uint8[],uint8[],uint8[],bytes16[])",batchResolveAquarium(uint256[])
"approve(address,uint256)",batchResolveAquarium(uint256[])
"batchFishAquarium(uint256[],address)",batchResolveAquarium(uint256[])
setAuction(address),batchResolveAquarium(uint256[])
setBoosters(address),batchResolveAquarium(uint256[])
setAquariumCost(uint256),batchResolveAquarium(uint256[])
transferOwnership(address),batchResolveAquarium(uint256[])
setMinter(address),batchResolveAquarium(uint256[])
setBeneficiary(address),batchResolveAquarium(uint256[])
setResolver(address),batchResolveAquarium(uint256[])
setUtils(address),batchResolveAquarium(uint256[])
setWeightLostPartLimit(uint8),batchResolveAquarium(uint256[])
initChestsStore(),batchResolveAquarium(uint256[])
addHash(bytes32[]),batchResolveAquarium(uint256[])
"attack(uint256,uint256)","applyBooster(uint256,uint256)"
"mintFish(address[],uint32[],uint8[],uint8[],uint8[],bytes16[])","applyBooster(uint256,uint256)"
batchResolveAquarium(uint256[]),"applyBooster(uint256,uint256)"
"transferFrom(address,address,uint256)","applyBooster(uint256,uint256)"
addHash(bytes32[]),"applyBooster(uint256,uint256)"
"attack(uint256,uint256)","transfer(address,uint256)"
"mintFish(address[],uint32[],uint8[],uint8[],uint8[],bytes16[])","transfer(address,uint256)"
batchResolveAquarium(uint256[]),"transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"applyBooster(uint256,uint256)","transfer(address,uint256)"
addHash(bytes32[]),"transfer(address,uint256)"
"attack(uint256,uint256)",takeOwnership(uint256)
"mintFish(address[],uint32[],uint8[],uint8[],uint8[],bytes16[])",takeOwnership(uint256)
"approve(address,uint256)",takeOwnership(uint256)
batchResolveAquarium(uint256[]),takeOwnership(uint256)
"batchFishAquarium(uint256[],address)",takeOwnership(uint256)
