Source Function,Target Function
finalize(),powerUpContract()
emergencyStop(),powerUpContract()
"setTiersInfo(uint8,uint256[],uint256[],uint256[],uint256[],uint8[])",powerUpContract()
ownerWithdrawUnspentCredits(),powerUpContract()
transferOwnership(address),powerUpContract()
finalize(),"setTiersInfo(uint8,uint256[],uint256[],uint256[],uint256[],uint8[])"
powerUpContract(),"setTiersInfo(uint8,uint256[],uint256[],uint256[],uint256[],uint8[])"
emergencyStop(),"setTiersInfo(uint8,uint256[],uint256[],uint256[],uint256[],uint8[])"
ownerWithdrawUnspentCredits(),"setTiersInfo(uint8,uint256[],uint256[],uint256[],uint256[],uint8[])"
transferOwnership(address),"setTiersInfo(uint8,uint256[],uint256[],uint256[],uint256[],uint8[])"
finalize(),ownerWithdrawUnspentCredits()
powerUpContract(),ownerWithdrawUnspentCredits()
emergencyStop(),ownerWithdrawUnspentCredits()
"setTiersInfo(uint8,uint256[],uint256[],uint256[],uint256[],uint8[])",ownerWithdrawUnspentCredits()
transferOwnership(address),ownerWithdrawUnspentCredits()
