Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
cancelTransferRight(address),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
grantTransferRight(address),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
cancelTransferRight(address),burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
grantTransferRight(address),burn(uint256)
"transfer(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
burn(uint256),withdrawERC20Tokens(address)
enableTransfers(),withdrawERC20Tokens(address)
transferOwnership(address),withdrawERC20Tokens(address)
burn(uint256),cancelTransferRight(address)
enableTransfers(),cancelTransferRight(address)
transferOwnership(address),cancelTransferRight(address)
"approve(address,uint256)",cancelTransferRight(address)
"transferFrom(address,address,uint256)",cancelTransferRight(address)
"decreaseApproval(address,uint256)",cancelTransferRight(address)
grantTransferRight(address),cancelTransferRight(address)
"transfer(address,uint256)",cancelTransferRight(address)
"increaseApproval(address,uint256)",cancelTransferRight(address)
burn(uint256),withdrawEther()
enableTransfers(),withdrawEther()
transferOwnership(address),withdrawEther()
burn(uint256),grantTransferRight(address)
enableTransfers(),grantTransferRight(address)
transferOwnership(address),grantTransferRight(address)
"approve(address,uint256)",grantTransferRight(address)
"transferFrom(address,address,uint256)",grantTransferRight(address)
cancelTransferRight(address),grantTransferRight(address)
"decreaseApproval(address,uint256)",grantTransferRight(address)
"transfer(address,uint256)",grantTransferRight(address)
"increaseApproval(address,uint256)",grantTransferRight(address)
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
cancelTransferRight(address),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
grantTransferRight(address),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
burn(uint256),enableTransfers()
transferOwnership(address),enableTransfers()
burn(uint256),transferOwnership(address)
enableTransfers(),transferOwnership(address)
