Source Function,Target Function
removeSERAPHIM(address),setMedalsClaimed(uint16)
closeLeaderboard(uint16),setMedalsClaimed(uint16)
addSERAPHIM(address),setMedalsClaimed(uint16)
"newTeamOnEnd(uint16,uint64,uint64,uint64)",setMedalsClaimed(uint16)
removeSERAPHIM(address),closeLeaderboard(uint16)
addSERAPHIM(address),closeLeaderboard(uint16)
"newTeamOnEnd(uint16,uint64,uint64,uint64)",closeLeaderboard(uint16)
"openLeaderboard(uint8,string)",closeLeaderboard(uint16)
setMedalsClaimed(uint16),closeLeaderboard(uint16)
"switchRankings(uint16,uint8,uint64,uint64,uint64,uint64,uint64,uint64)",closeLeaderboard(uint16)
removeSERAPHIM(address),"switchRankings(uint16,uint8,uint64,uint64,uint64,uint64,uint64,uint64)"
closeLeaderboard(uint16),"switchRankings(uint16,uint8,uint64,uint64,uint64,uint64,uint64,uint64)"
addSERAPHIM(address),"switchRankings(uint16,uint8,uint64,uint64,uint64,uint64,uint64,uint64)"
"newTeamOnEnd(uint16,uint64,uint64,uint64)","switchRankings(uint16,uint8,uint64,uint64,uint64,uint64,uint64,uint64)"
removeSERAPHIM(address),"newTeamOnEnd(uint16,uint64,uint64,uint64)"
closeLeaderboard(uint16),"newTeamOnEnd(uint16,uint64,uint64,uint64)"
addSERAPHIM(address),"newTeamOnEnd(uint16,uint64,uint64,uint64)"
