Source Function,Target Function
"burnTokens(address,uint256)","approve(address,uint256)"
unpause(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
"approve(address,uint256)","burnTokens(address,uint256)"
addBurnWallet(address),"burnTokens(address,uint256)"
removeAdmin(address),"burnTokens(address,uint256)"
"transferFrom(address,address,uint256)","burnTokens(address,uint256)"
"unlockTokens(address,uint64)","burnTokens(address,uint256)"
"decreaseApproval(address,uint256)","burnTokens(address,uint256)"
addAdmin(address),"burnTokens(address,uint256)"
"transfer(address,uint256)","burnTokens(address,uint256)"
"redeemTokens(address,address,uint256,uint8,uint64)","burnTokens(address,uint256)"
"increaseApproval(address,uint256)","burnTokens(address,uint256)"
"burnTokens(address,uint256)",removeAdmin(address)
unpause(),removeAdmin(address)
pause(),removeAdmin(address)
transferOwnership(address),removeAdmin(address)
"burnTokens(address,uint256)",reclaimToken(address)
unpause(),reclaimToken(address)
pause(),reclaimToken(address)
transferOwnership(address),reclaimToken(address)
"burnTokens(address,uint256)","transferFrom(address,address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"burnTokens(address,uint256)",unpause()
pause(),unpause()
transferOwnership(address),unpause()
"burnTokens(address,uint256)","decreaseApproval(address,uint256)"
unpause(),"decreaseApproval(address,uint256)"
pause(),"decreaseApproval(address,uint256)"
transferOwnership(address),"decreaseApproval(address,uint256)"
"burnTokens(address,uint256)",addAdmin(address)
unpause(),addAdmin(address)
pause(),addAdmin(address)
transferOwnership(address),addAdmin(address)
"burnTokens(address,uint256)",destroy()
unpause(),destroy()
pause(),destroy()
transferOwnership(address),destroy()
"burnTokens(address,uint256)",pause()
unpause(),pause()
transferOwnership(address),pause()
"burnTokens(address,uint256)",reclaimEther()
unpause(),reclaimEther()
pause(),reclaimEther()
transferOwnership(address),reclaimEther()
"burnTokens(address,uint256)","transfer(address,uint256)"
unpause(),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
"approve(address,uint256)","redeemTokens(address,address,uint256,uint8,uint64)"
addBurnWallet(address),"redeemTokens(address,address,uint256,uint8,uint64)"
"burnTokens(address,uint256)","redeemTokens(address,address,uint256,uint8,uint64)"
removeAdmin(address),"redeemTokens(address,address,uint256,uint8,uint64)"
"transferFrom(address,address,uint256)","redeemTokens(address,address,uint256,uint8,uint64)"
"unlockTokens(address,uint64)","redeemTokens(address,address,uint256,uint8,uint64)"
"decreaseApproval(address,uint256)","redeemTokens(address,address,uint256,uint8,uint64)"
addAdmin(address),"redeemTokens(address,address,uint256,uint8,uint64)"
"transfer(address,uint256)","redeemTokens(address,address,uint256,uint8,uint64)"
"increaseApproval(address,uint256)","redeemTokens(address,address,uint256,uint8,uint64)"
"burnTokens(address,uint256)","increaseApproval(address,uint256)"
unpause(),"increaseApproval(address,uint256)"
pause(),"increaseApproval(address,uint256)"
transferOwnership(address),"increaseApproval(address,uint256)"
"approve(address,uint256)","redemptionInfo(address,uint64)"
addBurnWallet(address),"redemptionInfo(address,uint64)"
"burnTokens(address,uint256)","redemptionInfo(address,uint64)"
removeAdmin(address),"redemptionInfo(address,uint64)"
"transferFrom(address,address,uint256)","redemptionInfo(address,uint64)"
"unlockTokens(address,uint64)","redemptionInfo(address,uint64)"
"decreaseApproval(address,uint256)","redemptionInfo(address,uint64)"
addAdmin(address),"redemptionInfo(address,uint64)"
"transfer(address,uint256)","redemptionInfo(address,uint64)"
"redeemTokens(address,address,uint256,uint8,uint64)","redemptionInfo(address,uint64)"
"increaseApproval(address,uint256)","redemptionInfo(address,uint64)"
"burnTokens(address,uint256)",transferOwnership(address)
unpause(),transferOwnership(address)
pause(),transferOwnership(address)
"approve(address,uint256)","lockInfo(address,uint64)"
addBurnWallet(address),"lockInfo(address,uint64)"
"burnTokens(address,uint256)","lockInfo(address,uint64)"
removeAdmin(address),"lockInfo(address,uint64)"
"transferFrom(address,address,uint256)","lockInfo(address,uint64)"
"unlockTokens(address,uint64)","lockInfo(address,uint64)"
"decreaseApproval(address,uint256)","lockInfo(address,uint64)"
addAdmin(address),"lockInfo(address,uint64)"
"transfer(address,uint256)","lockInfo(address,uint64)"
"redeemTokens(address,address,uint256,uint8,uint64)","lockInfo(address,uint64)"
"increaseApproval(address,uint256)","lockInfo(address,uint64)"
