Source Function,Target Function
"buyRareEgg(uint8,uint256,address)",withdrawAmount(uint256)
"setAddresses(address,address,address)",withdrawAmount(uint256)
UpdateMaintaining(bool),withdrawAmount(uint256)
setCooldown(uint64),withdrawAmount(uint256)
"buyBlueStarEgg(address,uint256,uint16)",withdrawAmount(uint256)
AddModerator(address),withdrawAmount(uint256)
"addAuction(uint32,uint256,uint256,uint8,uint8)",withdrawAmount(uint256)
RemoveModerator(address),withdrawAmount(uint256)
burnAuction(),withdrawAmount(uint256)
ChangeOwner(address),withdrawAmount(uint256)
"buyRareEgg(uint8,uint256,address)","setEggTable(uint16,uint32[])"
"setAddresses(address,address,address)","setEggTable(uint16,uint32[])"
UpdateMaintaining(bool),"setEggTable(uint16,uint32[])"
setCooldown(uint64),"setEggTable(uint16,uint32[])"
"buyBlueStarEgg(address,uint256,uint16)","setEggTable(uint16,uint32[])"
AddModerator(address),"setEggTable(uint16,uint32[])"
"addAuction(uint32,uint256,uint256,uint8,uint8)","setEggTable(uint16,uint32[])"
RemoveModerator(address),"setEggTable(uint16,uint32[])"
burnAuction(),"setEggTable(uint16,uint32[])"
ChangeOwner(address),"setEggTable(uint16,uint32[])"
"buyRareEgg(uint8,uint256,address)","setEggTotal(uint8,uint256)"
"setAddresses(address,address,address)","setEggTotal(uint8,uint256)"
UpdateMaintaining(bool),"setEggTotal(uint8,uint256)"
setCooldown(uint64),"setEggTotal(uint8,uint256)"
"buyBlueStarEgg(address,uint256,uint16)","setEggTotal(uint8,uint256)"
AddModerator(address),"setEggTotal(uint8,uint256)"
"addAuction(uint32,uint256,uint256,uint8,uint8)","setEggTotal(uint8,uint256)"
RemoveModerator(address),"setEggTotal(uint8,uint256)"
burnAuction(),"setEggTotal(uint8,uint256)"
ChangeOwner(address),"setEggTotal(uint8,uint256)"
"setEggTable(uint16,uint32[])","buyRareEgg(uint8,uint256,address)"
"addAuction(uint32,uint256,uint256,uint8,uint8)","buyRareEgg(uint8,uint256,address)"
"buy(uint256,address)","buyRareEgg(uint8,uint256,address)"
burnAuction(),"buyRareEgg(uint8,uint256,address)"
"hatchEgg(uint256,string)","buyRareEgg(uint8,uint256,address)"
"setEggTotal(uint8,uint256)","buyRareEgg(uint8,uint256,address)"
"setMasterToReferral(address,address)","buyRareEgg(uint8,uint256,address)"
"buyBlueStarEgg(address,uint256,uint16)","buyRareEgg(uint8,uint256,address)"
AddModerator(address),"buyRareEgg(uint8,uint256,address)"
RemoveModerator(address),"buyRareEgg(uint8,uint256,address)"
"buyRareEgg(uint8,uint256,address)","setMasterToReferral(address,address)"
"setAddresses(address,address,address)","setMasterToReferral(address,address)"
UpdateMaintaining(bool),"setMasterToReferral(address,address)"
setCooldown(uint64),"setMasterToReferral(address,address)"
"buyBlueStarEgg(address,uint256,uint16)","setMasterToReferral(address,address)"
AddModerator(address),"setMasterToReferral(address,address)"
"addAuction(uint32,uint256,uint256,uint8,uint8)","setMasterToReferral(address,address)"
RemoveModerator(address),"setMasterToReferral(address,address)"
burnAuction(),"setMasterToReferral(address,address)"
ChangeOwner(address),"setMasterToReferral(address,address)"
"buyRareEgg(uint8,uint256,address)","setAddresses(address,address,address)"
UpdateMaintaining(bool),"setAddresses(address,address,address)"
setCooldown(uint64),"setAddresses(address,address,address)"
"buyBlueStarEgg(address,uint256,uint16)","setAddresses(address,address,address)"
AddModerator(address),"setAddresses(address,address,address)"
