Source Function,Target Function
setMultisendLimit(uint256),"mint(address,uint256)"
burn(uint256),"mint(address,uint256)"
claimOwnership(),"mint(address,uint256)"
setPausedTransfers(bool),"mint(address,uint256)"
renounceOwnership(),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
"approve(address,uint256)",burn(uint256)
"mint(address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"approveAndCall(address,uint256,bytes)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
setMultisendLimit(uint256),claimOwnership()
"mint(address,uint256)",claimOwnership()
burn(uint256),claimOwnership()
setPausedTransfers(bool),claimOwnership()
renounceOwnership(),claimOwnership()
finishMinting(),claimOwnership()
transferOwnership(address),claimOwnership()
setMultisendLimit(uint256),finishMinting()
"mint(address,uint256)",finishMinting()
burn(uint256),finishMinting()
claimOwnership(),finishMinting()
setPausedTransfers(bool),finishMinting()
renounceOwnership(),finishMinting()
transferOwnership(address),finishMinting()
