Source Function,Target Function
transferOperator(address),"MultiTransfer(address[],uint256[])"
unpause(),"MultiTransfer(address[],uint256[])"
"mint(address,uint256)","MultiTransfer(address[],uint256[])"
burnAdminAmount(uint256),"MultiTransfer(address[],uint256[])"
finishMinting(),"MultiTransfer(address[],uint256[])"
pause(),"MultiTransfer(address[],uint256[])"
transferOwnership(address),"MultiTransfer(address[],uint256[])"
"approve(address,uint256)","MultiTransfer(address[],uint256[])"
"transferFrom(address,address,uint256)","MultiTransfer(address[],uint256[])"
"decreaseApproval(address,uint256)","MultiTransfer(address[],uint256[])"
"transfer(address,uint256)","MultiTransfer(address[],uint256[])"
UnLockAddress(address),"MultiTransfer(address[],uint256[])"
SetLockAddress(address),"MultiTransfer(address[],uint256[])"
"increaseApproval(address,uint256)","MultiTransfer(address[],uint256[])"
"MultiTransfer(address[],uint256[])","approve(address,uint256)"
"transferFrom(address,address,uint256)","approve(address,uint256)"
"mint(address,uint256)","approve(address,uint256)"
"decreaseApproval(address,uint256)","approve(address,uint256)"
burnAdminAmount(uint256),"approve(address,uint256)"
"transfer(address,uint256)","approve(address,uint256)"
UnLockAddress(address),"approve(address,uint256)"
SetLockAddress(address),"approve(address,uint256)"
"increaseApproval(address,uint256)","approve(address,uint256)"
"MultiTransfer(address[],uint256[])","transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
burnAdminAmount(uint256),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
UnLockAddress(address),"transferFrom(address,address,uint256)"
SetLockAddress(address),"transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
unpause(),transferOperator(address)
"mint(address,uint256)",transferOperator(address)
burnAdminAmount(uint256),transferOperator(address)
finishMinting(),transferOperator(address)
pause(),transferOperator(address)
transferOwnership(address),transferOperator(address)
transferOperator(address),unpause()
"mint(address,uint256)",unpause()
burnAdminAmount(uint256),unpause()
finishMinting(),unpause()
pause(),unpause()
transferOwnership(address),unpause()
transferOperator(address),"mint(address,uint256)"
unpause(),"mint(address,uint256)"
burnAdminAmount(uint256),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
pause(),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
"MultiTransfer(address[],uint256[])","decreaseApproval(address,uint256)"
"approve(address,uint256)","decreaseApproval(address,uint256)"
"transferFrom(address,address,uint256)","decreaseApproval(address,uint256)"
"mint(address,uint256)","decreaseApproval(address,uint256)"
burnAdminAmount(uint256),"decreaseApproval(address,uint256)"
"transfer(address,uint256)","decreaseApproval(address,uint256)"
UnLockAddress(address),"decreaseApproval(address,uint256)"
SetLockAddress(address),"decreaseApproval(address,uint256)"
"increaseApproval(address,uint256)","decreaseApproval(address,uint256)"
transferOperator(address),burnAdminAmount(uint256)
unpause(),burnAdminAmount(uint256)
"mint(address,uint256)",burnAdminAmount(uint256)
finishMinting(),burnAdminAmount(uint256)
pause(),burnAdminAmount(uint256)
transferOwnership(address),burnAdminAmount(uint256)
"MultiTransfer(address[],uint256[])",burnAdminAmount(uint256)
"approve(address,uint256)",burnAdminAmount(uint256)
"transferFrom(address,address,uint256)",burnAdminAmount(uint256)
"decreaseApproval(address,uint256)",burnAdminAmount(uint256)
"transfer(address,uint256)",burnAdminAmount(uint256)
UnLockAddress(address),burnAdminAmount(uint256)
SetLockAddress(address),burnAdminAmount(uint256)
"increaseApproval(address,uint256)",burnAdminAmount(uint256)
transferOperator(address),finishMinting()
unpause(),finishMinting()
"mint(address,uint256)",finishMinting()
burnAdminAmount(uint256),finishMinting()
pause(),finishMinting()
transferOwnership(address),finishMinting()
"MultiTransfer(address[],uint256[])","transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
burnAdminAmount(uint256),"transfer(address,uint256)"
UnLockAddress(address),"transfer(address,uint256)"
SetLockAddress(address),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
transferOperator(address),UnLockAddress(address)
unpause(),UnLockAddress(address)
"mint(address,uint256)",UnLockAddress(address)
burnAdminAmount(uint256),UnLockAddress(address)
finishMinting(),UnLockAddress(address)
pause(),UnLockAddress(address)
transferOwnership(address),UnLockAddress(address)
"MultiTransfer(address[],uint256[])",UnLockAddress(address)
"approve(address,uint256)",UnLockAddress(address)
"transferFrom(address,address,uint256)",UnLockAddress(address)
"decreaseApproval(address,uint256)",UnLockAddress(address)
"transfer(address,uint256)",UnLockAddress(address)
SetLockAddress(address),UnLockAddress(address)
"increaseApproval(address,uint256)",UnLockAddress(address)
transferOperator(address),SetLockAddress(address)
unpause(),SetLockAddress(address)
