Source Function,Target Function
"mintTicket(address,string)","approve(address,uint256)"
"setApprovalForAll(address,bool)","approve(address,uint256)"
"mintTicket(address,string)","setTokenURI(uint256,string)"
renounceOwnership(),"setTokenURI(uint256,string)"
transferOwnership(address),"setTokenURI(uint256,string)"
renounceOwnership(),"mintTicket(address,string)"
transferOwnership(address),"mintTicket(address,string)"
"approve(address,uint256)",ownerOf(uint256)
"mintTicket(address,string)",ownerOf(uint256)
"setApprovalForAll(address,bool)",ownerOf(uint256)
"mintTicket(address,string)",renounceOwnership()
transferOwnership(address),renounceOwnership()
"mintTicket(address,string)",transferOwnership(address)
renounceOwnership(),transferOwnership(address)
