Source Function,Target Function
"approve(address,uint256)","mint(address,uint256)"
"transferPrivileged(address,uint256)","mint(address,uint256)"
"transferFrom(address,address,uint256)","mint(address,uint256)"
burn(uint256),"mint(address,uint256)"
"setMintAgent(address,bool)","mint(address,uint256)"
upgrade(uint256),"mint(address,uint256)"
"transferFromPrivileged(address,address,uint256)","mint(address,uint256)"
"transfer(address,uint256)","mint(address,uint256)"
"addApproval(address,uint256)","mint(address,uint256)"
"subApproval(address,uint256)","mint(address,uint256)"
"mint(address,uint256)",setUpgradeAgent(address)
burn(uint256),setUpgradeAgent(address)
upgrade(uint256),setUpgradeAgent(address)
transferOwnership(address),setUpgradeAgent(address)
setUpgradeMaster(address),setUpgradeAgent(address)
"mint(address,uint256)",setUpgradeMaster(address)
burn(uint256),setUpgradeMaster(address)
upgrade(uint256),setUpgradeMaster(address)
setUpgradeAgent(address),setUpgradeMaster(address)
transferOwnership(address),setUpgradeMaster(address)
