Source Function,Target Function
"mint(address,uint256)","increaseAssuranvePayments(address,uint256)"
finishMinting(),"increaseAssuranvePayments(address,uint256)"
transferOwnership(address),"increaseAssuranvePayments(address,uint256)"
"mint(address,uint256)","decreaseAssuranvePayments(address,uint256)"
finishMinting(),"decreaseAssuranvePayments(address,uint256)"
transferOwnership(address),"decreaseAssuranvePayments(address,uint256)"
finishMinting(),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
"mint(address,uint256)",finishMinting()
transferOwnership(address),finishMinting()
"approve(address,uint256)","transfer(address,uint256)"
"increaseAssuranvePayments(address,uint256)","transfer(address,uint256)"
"decreaseAssuranvePayments(address,uint256)","transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"tranferFrom(address,address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
"mint(address,uint256)",transferOwnership(address)
finishMinting(),transferOwnership(address)
