Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"mintInBatches(address[],uint256[])","transferFrom(address,address,uint256)"
lockAddress(address),"transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
unlockInBatches(address[]),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"assignInBatches(address[],uint256[])","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
lockInBatches(address[]),"transferFrom(address,address,uint256)"
unlockAddress(address),"transferFrom(address,address,uint256)"
"assign(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)","mintInBatches(address[],uint256[])"
"transferFrom(address,address,uint256)","mintInBatches(address[],uint256[])"
lockAddress(address),"mintInBatches(address[],uint256[])"
"mint(address,uint256)","mintInBatches(address[],uint256[])"
unlockInBatches(address[]),"mintInBatches(address[],uint256[])"
"decreaseApproval(address,uint256)","mintInBatches(address[],uint256[])"
"assignInBatches(address[],uint256[])","mintInBatches(address[],uint256[])"
"transfer(address,uint256)","mintInBatches(address[],uint256[])"
lockInBatches(address[]),"mintInBatches(address[],uint256[])"
unlockAddress(address),"mintInBatches(address[],uint256[])"
"assign(address,uint256)","mintInBatches(address[],uint256[])"
"increaseApproval(address,uint256)","mintInBatches(address[],uint256[])"
"approve(address,uint256)",lockAddress(address)
"transferFrom(address,address,uint256)",lockAddress(address)
"mintInBatches(address[],uint256[])",lockAddress(address)
"mint(address,uint256)",lockAddress(address)
unlockInBatches(address[]),lockAddress(address)
"decreaseApproval(address,uint256)",lockAddress(address)
"assignInBatches(address[],uint256[])",lockAddress(address)
"transfer(address,uint256)",lockAddress(address)
lockInBatches(address[]),lockAddress(address)
unlockAddress(address),lockAddress(address)
"assign(address,uint256)",lockAddress(address)
"increaseApproval(address,uint256)",lockAddress(address)
"mintInBatches(address[],uint256[])",tokenSaleStart()
"mint(address,uint256)",tokenSaleStart()
transferAssigner(address),tokenSaleStart()
"assignInBatches(address[],uint256[])",tokenSaleStart()
tokenSaleEnd(),tokenSaleStart()
transferLocker(address),tokenSaleStart()
"assign(address,uint256)",tokenSaleStart()
transferOwnership(address),tokenSaleStart()
"approve(address,uint256)","mint(address,uint256)"
"transferFrom(address,address,uint256)","mint(address,uint256)"
"mintInBatches(address[],uint256[])","mint(address,uint256)"
lockAddress(address),"mint(address,uint256)"
unlockInBatches(address[]),"mint(address,uint256)"
"decreaseApproval(address,uint256)","mint(address,uint256)"
"assignInBatches(address[],uint256[])","mint(address,uint256)"
"transfer(address,uint256)","mint(address,uint256)"
