Source Function,Target Function
deleteOwner(address),"kscBurnFrom(address,uint256,string)"
"kscBatchSellByOtherCoin(address,address[],uint256[],uint256,uint256[],string)","kscBurnFrom(address,uint256,string)"
"kscBatchTransferToBounty(address,address[],uint256[],uint256,uint256[],string)","kscBurnFrom(address,uint256,string)"
"kscMintTo(address,uint256,string)","kscBurnFrom(address,uint256,string)"
"unlockTo(address,string)","kscBurnFrom(address,uint256,string)"
"kscBatchTransferToEcosystem(address,address[],uint256[],uint256,uint256[],string)","kscBurnFrom(address,uint256,string)"
"lockTo(address,string)","kscBurnFrom(address,uint256,string)"
newOwner(address),"kscBurnFrom(address,uint256,string)"
deleteOwner(address),"kscSell(address,address,uint256,string)"
"kscBatchSellByOtherCoin(address,address[],uint256[],uint256,uint256[],string)","kscSell(address,address,uint256,string)"
"kscBatchTransferToBounty(address,address[],uint256[],uint256,uint256[],string)","kscSell(address,address,uint256,string)"
"kscMintTo(address,uint256,string)","kscSell(address,address,uint256,string)"
"unlockTo(address,string)","kscSell(address,address,uint256,string)"
"kscBatchTransferToEcosystem(address,address[],uint256[],uint256,uint256[],string)","kscSell(address,address,uint256,string)"
"lockTo(address,string)","kscSell(address,address,uint256,string)"
newOwner(address),"kscSell(address,address,uint256,string)"
deleteOwner(address),"kscBatchSellByOtherCoin(address,address[],uint256[],uint256,uint256[],string)"
"kscBatchTransferToBounty(address,address[],uint256[],uint256,uint256[],string)","kscBatchSellByOtherCoin(address,address[],uint256[],uint256,uint256[],string)"
"kscMintTo(address,uint256,string)","kscBatchSellByOtherCoin(address,address[],uint256[],uint256,uint256[],string)"
"unlockTo(address,string)","kscBatchSellByOtherCoin(address,address[],uint256[],uint256,uint256[],string)"
"kscBatchTransferToEcosystem(address,address[],uint256[],uint256,uint256[],string)","kscBatchSellByOtherCoin(address,address[],uint256[],uint256,uint256[],string)"
"lockTo(address,string)","kscBatchSellByOtherCoin(address,address[],uint256[],uint256,uint256[],string)"
newOwner(address),"kscBatchSellByOtherCoin(address,address[],uint256[],uint256,uint256[],string)"
deleteOwner(address),"kscBatchTransferToBounty(address,address[],uint256[],uint256,uint256[],string)"
"kscBatchSellByOtherCoin(address,address[],uint256[],uint256,uint256[],string)","kscBatchTransferToBounty(address,address[],uint256[],uint256,uint256[],string)"
"kscMintTo(address,uint256,string)","kscBatchTransferToBounty(address,address[],uint256[],uint256,uint256[],string)"
"unlockTo(address,string)","kscBatchTransferToBounty(address,address[],uint256[],uint256,uint256[],string)"
"kscBatchTransferToEcosystem(address,address[],uint256[],uint256,uint256[],string)","kscBatchTransferToBounty(address,address[],uint256[],uint256,uint256[],string)"
"lockTo(address,string)","kscBatchTransferToBounty(address,address[],uint256[],uint256,uint256[],string)"
newOwner(address),"kscBatchTransferToBounty(address,address[],uint256[],uint256,uint256[],string)"
deleteOwner(address),"kscMintTo(address,uint256,string)"
"kscBatchSellByOtherCoin(address,address[],uint256[],uint256,uint256[],string)","kscMintTo(address,uint256,string)"
"kscBatchTransferToBounty(address,address[],uint256[],uint256,uint256[],string)","kscMintTo(address,uint256,string)"
"unlockTo(address,string)","kscMintTo(address,uint256,string)"
"kscBatchTransferToEcosystem(address,address[],uint256[],uint256,uint256[],string)","kscMintTo(address,uint256,string)"
"lockTo(address,string)","kscMintTo(address,uint256,string)"
newOwner(address),"kscMintTo(address,uint256,string)"
