Source Function,Target Function
"__callback(bytes32,string)","placeBet(bytes32,string)"
claimRefund(bytes32),"placeBet(bytes32,string)"
"extendEventStartsTime(bytes32,uint256)","placeBet(bytes32,string)"
getWinnerOfEvent(bytes32),"placeBet(bytes32,string)"
claimWinnings(bytes32),"placeBet(bytes32,string)"
cancelAndEndEvent(bytes32),"placeBet(bytes32,string)"
"createNewEvent(bytes32,string,string,uint256,string,string)","placeBet(bytes32,string)"
"placeBet(bytes32,string)",claimRefund(bytes32)
"__callback(bytes32,string)",claimRefund(bytes32)
"extendEventStartsTime(bytes32,uint256)",claimRefund(bytes32)
getWinnerOfEvent(bytes32),claimRefund(bytes32)
claimWinnings(bytes32),claimRefund(bytes32)
cancelAndEndEvent(bytes32),claimRefund(bytes32)
"createNewEvent(bytes32,string,string,uint256,string,string)",claimRefund(bytes32)
"placeBet(bytes32,string)","extendEventStartsTime(bytes32,uint256)"
"__callback(bytes32,string)","extendEventStartsTime(bytes32,uint256)"
claimRefund(bytes32),"extendEventStartsTime(bytes32,uint256)"
getWinnerOfEvent(bytes32),"extendEventStartsTime(bytes32,uint256)"
claimWinnings(bytes32),"extendEventStartsTime(bytes32,uint256)"
cancelAndEndEvent(bytes32),"extendEventStartsTime(bytes32,uint256)"
"createNewEvent(bytes32,string,string,uint256,string,string)","extendEventStartsTime(bytes32,uint256)"
"placeBet(bytes32,string)",getWinnerOfEvent(bytes32)
"__callback(bytes32,string)",getWinnerOfEvent(bytes32)
claimRefund(bytes32),getWinnerOfEvent(bytes32)
"extendEventStartsTime(bytes32,uint256)",getWinnerOfEvent(bytes32)
claimWinnings(bytes32),getWinnerOfEvent(bytes32)
cancelAndEndEvent(bytes32),getWinnerOfEvent(bytes32)
"createNewEvent(bytes32,string,string,uint256,string,string)",getWinnerOfEvent(bytes32)
"placeBet(bytes32,string)",claimWinnings(bytes32)
"__callback(bytes32,string)",claimWinnings(bytes32)
claimRefund(bytes32),claimWinnings(bytes32)
"extendEventStartsTime(bytes32,uint256)",claimWinnings(bytes32)
getWinnerOfEvent(bytes32),claimWinnings(bytes32)
cancelAndEndEvent(bytes32),claimWinnings(bytes32)
"createNewEvent(bytes32,string,string,uint256,string,string)",claimWinnings(bytes32)
"placeBet(bytes32,string)",cancelAndEndEvent(bytes32)
"__callback(bytes32,string)",cancelAndEndEvent(bytes32)
claimRefund(bytes32),cancelAndEndEvent(bytes32)
"extendEventStartsTime(bytes32,uint256)",cancelAndEndEvent(bytes32)
getWinnerOfEvent(bytes32),cancelAndEndEvent(bytes32)
claimWinnings(bytes32),cancelAndEndEvent(bytes32)
"createNewEvent(bytes32,string,string,uint256,string,string)",cancelAndEndEvent(bytes32)
