Source Function,Target Function
createBag(uint256),deleteBag(uint256)
setTimeout(uint256),deleteBag(uint256)
setStartingPrice(uint256),deleteBag(uint256)
createBag(uint256),payout()
setTimeout(uint256),payout()
setStartingPrice(uint256),payout()
setTimeout(uint256),createBag(uint256)
setStartingPrice(uint256),createBag(uint256)
createBag(uint256),getMeOutOfHereStocks()
setTimeout(uint256),getMeOutOfHereStocks()
setStartingPrice(uint256),getMeOutOfHereStocks()
createBag(uint256),setTimeout(uint256)
setStartingPrice(uint256),setTimeout(uint256)
createBag(uint256),"setBagMultiplier(uint256,uint256)"
setTimeout(uint256),"setBagMultiplier(uint256,uint256)"
setStartingPrice(uint256),"setBagMultiplier(uint256,uint256)"
createBag(uint256),sellMyTokensStocks()
setTimeout(uint256),sellMyTokensStocks()
setStartingPrice(uint256),sellMyTokensStocks()
createBag(uint256),withdrawStocks()
setTimeout(uint256),withdrawStocks()
setStartingPrice(uint256),withdrawStocks()
deleteBag(uint256),purchase(uint256)
createBag(uint256),purchase(uint256)
"setBagMultiplier(uint256,uint256)",purchase(uint256)
createBag(uint256),setStartingPrice(uint256)
setTimeout(uint256),setStartingPrice(uint256)
