Source Function,Target Function
upgrade(uint256),finalizeCrowdfunding()
refund(),finalizeCrowdfunding()
halt(),finalizeCrowdfunding()
setBcdcReserveFund(address),finalizeCrowdfunding()
unhalt(),finalizeCrowdfunding()
preAllocation(),finalizeCrowdfunding()
setUpgradeAgent(address),finalizeCrowdfunding()
transferOwnership(address),finalizeCrowdfunding()
setUpgradeMaster(address),finalizeCrowdfunding()
"approve(address,uint256)",upgrade(uint256)
finalizeCrowdfunding(),upgrade(uint256)
"transferFrom(address,address,uint256)",upgrade(uint256)
refund(),upgrade(uint256)
"transfer(address,uint256)",upgrade(uint256)
backTokenForRewards(uint256),upgrade(uint256)
preAllocation(),upgrade(uint256)
"reserveTokenClaim(address,uint256)",upgrade(uint256)
"approve(address,uint256)",refund()
finalizeCrowdfunding(),refund()
"transferFrom(address,address,uint256)",refund()
upgrade(uint256),refund()
"transfer(address,uint256)",refund()
backTokenForRewards(uint256),refund()
preAllocation(),refund()
"reserveTokenClaim(address,uint256)",refund()
