Source Function,Target Function
enableTransfers(bool),changeVestingWhitelister(address)
changeController(address),changeVestingWhitelister(address)
"generateTokens(address,uint256)",changeVestingWhitelister(address)
"destroyTokens(address,uint256)",changeVestingWhitelister(address)
enableTransfers(bool),"setCanCreateGrants(address,bool)"
changeVestingWhitelister(address),"setCanCreateGrants(address,bool)"
changeController(address),"setCanCreateGrants(address,bool)"
"generateTokens(address,uint256)","setCanCreateGrants(address,bool)"
"destroyTokens(address,uint256)","setCanCreateGrants(address,bool)"
changeVestingWhitelister(address),"grantVestedTokens(address,uint256,uint64,uint64,uint64,bool,bool)"
"setCanCreateGrants(address,bool)","grantVestedTokens(address,uint256,uint64,uint64,uint64,bool,bool)"
"transferFrom(address,address,uint256)","grantVestedTokens(address,uint256,uint64,uint64,uint64,bool,bool)"
"generateTokens(address,uint256)","grantVestedTokens(address,uint256,uint64,uint64,uint64,bool,bool)"
"revokeTokenGrant(address,address,uint256)","grantVestedTokens(address,uint256,uint64,uint64,uint64,bool,bool)"
"destroyTokens(address,uint256)","grantVestedTokens(address,uint256,uint64,uint64,uint64,bool,bool)"
enableTransfers(bool),"revokeTokenGrant(address,address,uint256)"
changeVestingWhitelister(address),"revokeTokenGrant(address,address,uint256)"
changeController(address),"revokeTokenGrant(address,address,uint256)"
"generateTokens(address,uint256)","revokeTokenGrant(address,address,uint256)"
"destroyTokens(address,uint256)","revokeTokenGrant(address,address,uint256)"
"grantVestedTokens(address,uint256,uint64,uint64,uint64,bool,bool)","revokeTokenGrant(address,address,uint256)"
