Source Function,Target Function
"setSalePeriod(uint256,uint256,uint256)","addStage(uint256,uint256,uint256,uint256,uint256,uint256)"
"setRate(uint256,uint256)","addStage(uint256,uint256,uint256,uint256,uint256,uint256)"
setManyAccountsVerified(address[]),"addReferral(address,address)"
addToWhitelist(address),"addReferral(address,address)"
claimBountyToken(),"addReferral(address,address)"
claimToken(),"addReferral(address,address)"
"delBounty(address,uint256)","addReferral(address,address)"
"delReferral(address,address)","addReferral(address,address)"
"addBounty(address,uint256)","addReferral(address,address)"
removeFromWhitelist(address),"addReferral(address,address)"
addManyToWhitelist(address[]),"addReferral(address,address)"
setAccountVerified(address),"addReferral(address,address)"
unverifyAccount(address),"addReferral(address,address)"
setManyAccountsVerified(address[]),claimBountyToken()
addToWhitelist(address),claimBountyToken()
"addReferral(address,address)",claimBountyToken()
claimToken(),claimBountyToken()
"delBounty(address,uint256)",claimBountyToken()
"delReferral(address,address)",claimBountyToken()
"addBounty(address,uint256)",claimBountyToken()
removeFromWhitelist(address),claimBountyToken()
addManyToWhitelist(address[]),claimBountyToken()
setAccountVerified(address),claimBountyToken()
unverifyAccount(address),claimBountyToken()
setManyAccountsVerified(address[]),claimToken()
addToWhitelist(address),claimToken()
"addReferral(address,address)",claimToken()
claimBountyToken(),claimToken()
"delBounty(address,uint256)",claimToken()
"delReferral(address,address)",claimToken()
"addBounty(address,uint256)",claimToken()
removeFromWhitelist(address),claimToken()
addManyToWhitelist(address[]),claimToken()
setAccountVerified(address),claimToken()
unverifyAccount(address),claimToken()
setManyAccountsVerified(address[]),"delBounty(address,uint256)"
addToWhitelist(address),"delBounty(address,uint256)"
"addReferral(address,address)","delBounty(address,uint256)"
claimBountyToken(),"delBounty(address,uint256)"
claimToken(),"delBounty(address,uint256)"
"delReferral(address,address)","delBounty(address,uint256)"
"addBounty(address,uint256)","delBounty(address,uint256)"
removeFromWhitelist(address),"delBounty(address,uint256)"
addManyToWhitelist(address[]),"delBounty(address,uint256)"
setAccountVerified(address),"delBounty(address,uint256)"
unverifyAccount(address),"delBounty(address,uint256)"
setManyAccountsVerified(address[]),"delReferral(address,address)"
addToWhitelist(address),"delReferral(address,address)"
"addReferral(address,address)","delReferral(address,address)"
claimBountyToken(),"delReferral(address,address)"
claimToken(),"delReferral(address,address)"
"delBounty(address,uint256)","delReferral(address,address)"
"addBounty(address,uint256)","delReferral(address,address)"
removeFromWhitelist(address),"delReferral(address,address)"
addManyToWhitelist(address[]),"delReferral(address,address)"
setAccountVerified(address),"delReferral(address,address)"
unverifyAccount(address),"delReferral(address,address)"
setManyAccountsVerified(address[]),"addBounty(address,uint256)"
addToWhitelist(address),"addBounty(address,uint256)"
"addReferral(address,address)","addBounty(address,uint256)"
claimBountyToken(),"addBounty(address,uint256)"
claimToken(),"addBounty(address,uint256)"
"delBounty(address,uint256)","addBounty(address,uint256)"
"delReferral(address,address)","addBounty(address,uint256)"
removeFromWhitelist(address),"addBounty(address,uint256)"
addManyToWhitelist(address[]),"addBounty(address,uint256)"
setAccountVerified(address),"addBounty(address,uint256)"
unverifyAccount(address),"addBounty(address,uint256)"
setManyAccountsVerified(address[]),claimRefund()
addToWhitelist(address),claimRefund()
"addReferral(address,address)",claimRefund()
claimBountyToken(),claimRefund()
claimToken(),claimRefund()
"delBounty(address,uint256)",claimRefund()
"delReferral(address,address)",claimRefund()
"addBounty(address,uint256)",claimRefund()
removeFromWhitelist(address),claimRefund()
addManyToWhitelist(address[]),claimRefund()
setAccountVerified(address),claimRefund()
unverifyAccount(address),claimRefund()
