Source Function,Target Function
allowOwnership(address),removeAsset(address)
removeOwnership(address),removeAsset(address)
transferOwnership(address),removeAsset(address)
removeOwnership(address),allowOwnership(address)
transferOwnership(address),allowOwnership(address)
allowOwnership(address),"setAssetFeeParams(address,uint256,uint256,uint256,uint256)"
removeOwnership(address),"setAssetFeeParams(address,uint256,uint256,uint256,uint256)"
transferOwnership(address),"setAssetFeeParams(address,uint256,uint256,uint256,uint256)"
allowOwnership(address),removeOwnership(address)
transferOwnership(address),removeOwnership(address)
allowOwnership(address),"setTokenXCurrency(address,string)"
removeOwnership(address),"setTokenXCurrency(address,string)"
transferOwnership(address),"setTokenXCurrency(address,string)"
allowOwnership(address),"allowAsset(address,string,uint256,uint256,uint256,uint256)"
removeOwnership(address),"allowAsset(address,string,uint256,uint256,uint256,uint256)"
transferOwnership(address),"allowAsset(address,string,uint256,uint256,uint256,uint256)"
allowOwnership(address),"transferCollectedFees(address,address,uint256)"
removeOwnership(address),"transferCollectedFees(address,address,uint256)"
transferOwnership(address),"transferCollectedFees(address,address,uint256)"
allowOwnership(address),deprecateInterface()
removeOwnership(address),deprecateInterface()
transferOwnership(address),deprecateInterface()
allowOwnership(address),transferOwnership(address)
removeOwnership(address),transferOwnership(address)
allowOwnership(address),"setAssetCurrency(address,string)"
removeOwnership(address),"setAssetCurrency(address,string)"
transferOwnership(address),"setAssetCurrency(address,string)"
