Source Function,Target Function
"updateMessage(uint256,string)","approve(address,uint256)"
"generateToken(address,uint256,string,string)","approve(address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"updateMessage(uint256,string)","transferFrom(address,address,uint256)"
"generateToken(address,uint256,string,string)","transferFrom(address,address,uint256)"
"generateToken(address,uint256,string,string)",addLimitation(uint256)
transferOwnership(address),addLimitation(uint256)
"approve(address,uint256)","updateMessage(uint256,string)"
"generateToken(address,uint256,string,string)","updateMessage(uint256,string)"
"approve(address,uint256)",takeOwnership(uint256)
"updateMessage(uint256,string)",takeOwnership(uint256)
"generateToken(address,uint256,string,string)",takeOwnership(uint256)
addLimitation(uint256),"generateToken(address,uint256,string,string)"
transferOwnership(address),"generateToken(address,uint256,string,string)"
"approve(address,uint256)","generateToken(address,uint256,string,string)"
"updateMessage(uint256,string)","generateToken(address,uint256,string,string)"
addLimitation(uint256),transferOwnership(address)
"generateToken(address,uint256,string,string)",transferOwnership(address)
