Source Function,Target Function
migrationStep(uint256),setUpgradedContractAddress(address)
setBuyoutFeePercentage(uint256),setUpgradedContractAddress(address)
transferOwnership(address),setUpgradedContractAddress(address)
setClaimDividendPercentage(uint256),setUpgradedContractAddress(address)
setUnclaimedPlotPrice(uint256),setUpgradedContractAddress(address)
unpause(),setUpgradedContractAddress(address)
setCFO(address),setUpgradedContractAddress(address)
claimOwnership(),setUpgradedContractAddress(address)
withdrawBalance(),setUpgradedContractAddress(address)
setBuyoutDividendPercentage(uint256),setUpgradedContractAddress(address)
pause(),setUpgradedContractAddress(address)
setUpgradedContractAddress(address),migrationStep(uint256)
setBuyoutFeePercentage(uint256),migrationStep(uint256)
transferOwnership(address),migrationStep(uint256)
setClaimDividendPercentage(uint256),migrationStep(uint256)
setUnclaimedPlotPrice(uint256),migrationStep(uint256)
unpause(),migrationStep(uint256)
setCFO(address),migrationStep(uint256)
claimOwnership(),migrationStep(uint256)
withdrawBalance(),migrationStep(uint256)
setBuyoutDividendPercentage(uint256),migrationStep(uint256)
pause(),migrationStep(uint256)
setUpgradedContractAddress(address),transferOwnership(address)
migrationStep(uint256),transferOwnership(address)
setBuyoutFeePercentage(uint256),transferOwnership(address)
setClaimDividendPercentage(uint256),transferOwnership(address)
setUnclaimedPlotPrice(uint256),transferOwnership(address)
unpause(),transferOwnership(address)
setCFO(address),transferOwnership(address)
claimOwnership(),transferOwnership(address)
withdrawBalance(),transferOwnership(address)
setBuyoutDividendPercentage(uint256),transferOwnership(address)
pause(),transferOwnership(address)
setUpgradedContractAddress(address),reclaimToken(address)
migrationStep(uint256),reclaimToken(address)
setBuyoutFeePercentage(uint256),reclaimToken(address)
transferOwnership(address),reclaimToken(address)
setClaimDividendPercentage(uint256),reclaimToken(address)
setUnclaimedPlotPrice(uint256),reclaimToken(address)
unpause(),reclaimToken(address)
setCFO(address),reclaimToken(address)
claimOwnership(),reclaimToken(address)
withdrawBalance(),reclaimToken(address)
setBuyoutDividendPercentage(uint256),reclaimToken(address)
pause(),reclaimToken(address)
setUpgradedContractAddress(address),unpause()
migrationStep(uint256),unpause()
setBuyoutFeePercentage(uint256),unpause()
transferOwnership(address),unpause()
setClaimDividendPercentage(uint256),unpause()
setUnclaimedPlotPrice(uint256),unpause()
setCFO(address),unpause()
claimOwnership(),unpause()
withdrawBalance(),unpause()
setBuyoutDividendPercentage(uint256),unpause()
pause(),unpause()
setUpgradedContractAddress(address),setCFO(address)
migrationStep(uint256),setCFO(address)
setBuyoutFeePercentage(uint256),setCFO(address)
transferOwnership(address),setCFO(address)
setClaimDividendPercentage(uint256),setCFO(address)
setUnclaimedPlotPrice(uint256),setCFO(address)
unpause(),setCFO(address)
claimOwnership(),setCFO(address)
withdrawBalance(),setCFO(address)
setBuyoutDividendPercentage(uint256),setCFO(address)
pause(),setCFO(address)
migrationStep(uint256),withdrawBalance()
"setFreeClaimAllowance(address,uint256)",withdrawBalance()
migrationStep(uint256),ownerOf(uint256)
"setFreeClaimAllowance(address,uint256)",ownerOf(uint256)
withdrawBalance(),ownerOf(uint256)
setUpgradedContractAddress(address),pause()
migrationStep(uint256),pause()
setBuyoutFeePercentage(uint256),pause()
transferOwnership(address),pause()
setClaimDividendPercentage(uint256),pause()
setUnclaimedPlotPrice(uint256),pause()
unpause(),pause()
setCFO(address),pause()
claimOwnership(),pause()
withdrawBalance(),pause()
setBuyoutDividendPercentage(uint256),pause()
