Source Function,Target Function
"addToWhitelist(address,uint256,uint256)","setTime(uint256,uint256)"
"setTokenExcange(address,uint256)","setTime(uint256,uint256)"
"setPersonalBonus(address,uint256,address,uint256)","setTime(uint256,uint256)"
"setTimeBonuses(uint256[],uint256[])","setTime(uint256,uint256)"
"setAmountBonuses(uint256[],uint256[])","setTime(uint256,uint256)"
grant(address),"setTime(uint256,uint256)"
revoke(address),"setTime(uint256,uint256)"
"receiveApproval(address,uint256,address,bytes)","setTime(uint256,uint256)"
"addToWhitelist(address,uint256,uint256)","claimRefundTokens(address,address)"
"setTokenExcange(address,uint256)","claimRefundTokens(address,address)"
"setPersonalBonus(address,uint256,address,uint256)","claimRefundTokens(address,address)"
"setTimeBonuses(uint256[],uint256[])","claimRefundTokens(address,address)"
"setAmountBonuses(uint256[],uint256[])","claimRefundTokens(address,address)"
grant(address),"claimRefundTokens(address,address)"
revoke(address),"claimRefundTokens(address,address)"
"receiveApproval(address,uint256,address,bytes)","claimRefundTokens(address,address)"
"addToWhitelist(address,uint256,uint256)",setRegistry(address)
"setTokenExcange(address,uint256)",setRegistry(address)
"setPersonalBonus(address,uint256,address,uint256)",setRegistry(address)
"setTimeBonuses(uint256[],uint256[])",setRegistry(address)
"setAmountBonuses(uint256[],uint256[])",setRegistry(address)
grant(address),setRegistry(address)
revoke(address),setRegistry(address)
"receiveApproval(address,uint256,address,bytes)",setRegistry(address)
"addToWhitelist(address,uint256,uint256)",claimFunds()
"setTokenExcange(address,uint256)",claimFunds()
"setPersonalBonus(address,uint256,address,uint256)",claimFunds()
"setTimeBonuses(uint256[],uint256[])",claimFunds()
"setAmountBonuses(uint256[],uint256[])",claimFunds()
grant(address),claimFunds()
revoke(address),claimFunds()
"receiveApproval(address,uint256,address,bytes)",claimFunds()
"setTokenExcange(address,uint256)","addToWhitelist(address,uint256,uint256)"
"setPersonalBonus(address,uint256,address,uint256)","addToWhitelist(address,uint256,uint256)"
"setTimeBonuses(uint256[],uint256[])","addToWhitelist(address,uint256,uint256)"
"setAmountBonuses(uint256[],uint256[])","addToWhitelist(address,uint256,uint256)"
grant(address),"addToWhitelist(address,uint256,uint256)"
revoke(address),"addToWhitelist(address,uint256,uint256)"
"receiveApproval(address,uint256,address,bytes)","addToWhitelist(address,uint256,uint256)"
"addToWhitelist(address,uint256,uint256)","setTokenExcange(address,uint256)"
"setPersonalBonus(address,uint256,address,uint256)","setTokenExcange(address,uint256)"
"setTimeBonuses(uint256[],uint256[])","setTokenExcange(address,uint256)"
"setAmountBonuses(uint256[],uint256[])","setTokenExcange(address,uint256)"
grant(address),"setTokenExcange(address,uint256)"
revoke(address),"setTokenExcange(address,uint256)"
"receiveApproval(address,uint256,address,bytes)","setTokenExcange(address,uint256)"
"addToWhitelist(address,uint256,uint256)","setSoftHardCaps(uint256,uint256)"
"setTokenExcange(address,uint256)","setSoftHardCaps(uint256,uint256)"
"setPersonalBonus(address,uint256,address,uint256)","setSoftHardCaps(uint256,uint256)"
"setTimeBonuses(uint256[],uint256[])","setSoftHardCaps(uint256,uint256)"
"setAmountBonuses(uint256[],uint256[])","setSoftHardCaps(uint256,uint256)"
grant(address),"setSoftHardCaps(uint256,uint256)"
revoke(address),"setSoftHardCaps(uint256,uint256)"
"receiveApproval(address,uint256,address,bytes)","setSoftHardCaps(uint256,uint256)"
"addToWhitelist(address,uint256,uint256)","setFlags(bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool)"
"setTokenExcange(address,uint256)","setFlags(bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool)"
"setPersonalBonus(address,uint256,address,uint256)","setFlags(bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool)"
"setTimeBonuses(uint256[],uint256[])","setFlags(bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool)"
"setAmountBonuses(uint256[],uint256[])","setFlags(bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool)"
grant(address),"setFlags(bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool)"
revoke(address),"setFlags(bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool)"
"receiveApproval(address,uint256,address,bytes)","setFlags(bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool)"
"addToWhitelist(address,uint256,uint256)",setWallet(address)
"setTokenExcange(address,uint256)",setWallet(address)
"setPersonalBonus(address,uint256,address,uint256)",setWallet(address)
"setTimeBonuses(uint256[],uint256[])",setWallet(address)
"setAmountBonuses(uint256[],uint256[])",setWallet(address)
grant(address),setWallet(address)
revoke(address),setWallet(address)
"receiveApproval(address,uint256,address,bytes)",setWallet(address)
"addToWhitelist(address,uint256,uint256)","setPersonalBonus(address,uint256,address,uint256)"
"setTokenExcange(address,uint256)","setPersonalBonus(address,uint256,address,uint256)"
"setTimeBonuses(uint256[],uint256[])","setPersonalBonus(address,uint256,address,uint256)"
"setAmountBonuses(uint256[],uint256[])","setPersonalBonus(address,uint256,address,uint256)"
grant(address),"setPersonalBonus(address,uint256,address,uint256)"
revoke(address),"setPersonalBonus(address,uint256,address,uint256)"
"receiveApproval(address,uint256,address,bytes)","setPersonalBonus(address,uint256,address,uint256)"
"addToWhitelist(address,uint256,uint256)",setToken(address)
"setTokenExcange(address,uint256)",setToken(address)
"setPersonalBonus(address,uint256,address,uint256)",setToken(address)
"setTimeBonuses(uint256[],uint256[])",setToken(address)
"setAmountBonuses(uint256[],uint256[])",setToken(address)
grant(address),setToken(address)
revoke(address),setToken(address)
"receiveApproval(address,uint256,address,bytes)",setToken(address)
"addToWhitelist(address,uint256,uint256)","setTimeBonuses(uint256[],uint256[])"
"setTokenExcange(address,uint256)","setTimeBonuses(uint256[],uint256[])"
"setPersonalBonus(address,uint256,address,uint256)","setTimeBonuses(uint256[],uint256[])"
"setAmountBonuses(uint256[],uint256[])","setTimeBonuses(uint256[],uint256[])"
grant(address),"setTimeBonuses(uint256[],uint256[])"
revoke(address),"setTimeBonuses(uint256[],uint256[])"
"receiveApproval(address,uint256,address,bytes)","setTimeBonuses(uint256[],uint256[])"
"addToWhitelist(address,uint256,uint256)","buyWithHash(address,uint256,uint256,bytes32)"
"setTokenExcange(address,uint256)","buyWithHash(address,uint256,uint256,bytes32)"
"setPersonalBonus(address,uint256,address,uint256)","buyWithHash(address,uint256,uint256,bytes32)"
