Source Function,Target Function
unpause(),setOpeningTime(uint256)
updatePresaleBonus(uint256),setOpeningTime(uint256)
setClosingTime(uint256),setOpeningTime(uint256)
updatePresaleMaxWei(uint256),setOpeningTime(uint256)
renounceOwnership(),setOpeningTime(uint256)
pause(),setOpeningTime(uint256)
"setOpeningClosingTime(uint256,uint256)",setOpeningTime(uint256)
"setPresaleOpeningClosingTime(uint256,uint256)",setOpeningTime(uint256)
updatePresaleMinWei(uint256),setOpeningTime(uint256)
setPresaleClosingTime(uint256),setOpeningTime(uint256)
transferOwnership(address),setOpeningTime(uint256)
unpause(),"setPresaleOpeningClosingTime(uint256,uint256)"
updatePresaleBonus(uint256),"setPresaleOpeningClosingTime(uint256,uint256)"
setClosingTime(uint256),"setPresaleOpeningClosingTime(uint256,uint256)"
updatePresaleMaxWei(uint256),"setPresaleOpeningClosingTime(uint256,uint256)"
renounceOwnership(),"setPresaleOpeningClosingTime(uint256,uint256)"
pause(),"setPresaleOpeningClosingTime(uint256,uint256)"
"setOpeningClosingTime(uint256,uint256)","setPresaleOpeningClosingTime(uint256,uint256)"
setOpeningTime(uint256),"setPresaleOpeningClosingTime(uint256,uint256)"
updatePresaleMinWei(uint256),"setPresaleOpeningClosingTime(uint256,uint256)"
setPresaleClosingTime(uint256),"setPresaleOpeningClosingTime(uint256,uint256)"
transferOwnership(address),"setPresaleOpeningClosingTime(uint256,uint256)"
unpause(),setPresaleClosingTime(uint256)
updatePresaleBonus(uint256),setPresaleClosingTime(uint256)
setClosingTime(uint256),setPresaleClosingTime(uint256)
updatePresaleMaxWei(uint256),setPresaleClosingTime(uint256)
renounceOwnership(),setPresaleClosingTime(uint256)
pause(),setPresaleClosingTime(uint256)
"setOpeningClosingTime(uint256,uint256)",setPresaleClosingTime(uint256)
setOpeningTime(uint256),setPresaleClosingTime(uint256)
"setPresaleOpeningClosingTime(uint256,uint256)",setPresaleClosingTime(uint256)
updatePresaleMinWei(uint256),setPresaleClosingTime(uint256)
transferOwnership(address),setPresaleClosingTime(uint256)
