Source Function,Target Function
"claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])","getFinalAnswerIfMatches(bytes32,bytes32,address,uint32,uint256)"
withdraw(),"getFinalAnswerIfMatches(bytes32,bytes32,address,uint32,uint256)"
"notifyOfArbitrationRequest(bytes32,address)","getFinalAnswerIfMatches(bytes32,bytes32,address,uint32,uint256)"
"submitAnswerReveal(bytes32,bytes32,uint256,uint256)","getFinalAnswerIfMatches(bytes32,bytes32,address,uint32,uint256)"
setQuestionFee(uint256),"getFinalAnswerIfMatches(bytes32,bytes32,address,uint32,uint256)"
fundAnswerBounty(bytes32),"getFinalAnswerIfMatches(bytes32,bytes32,address,uint32,uint256)"
"submitAnswer(bytes32,bytes32,uint256)","getFinalAnswerIfMatches(bytes32,bytes32,address,uint32,uint256)"
"submitAnswerCommitment(bytes32,bytes32,uint256,address)","getFinalAnswerIfMatches(bytes32,bytes32,address,uint32,uint256)"
"submitAnswerByArbitrator(bytes32,bytes32,address)","getFinalAnswerIfMatches(bytes32,bytes32,address,uint32,uint256)"
withdraw(),"claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])"
"notifyOfArbitrationRequest(bytes32,address)","claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])"
"submitAnswerReveal(bytes32,bytes32,uint256,uint256)","claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])"
setQuestionFee(uint256),"claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])"
fundAnswerBounty(bytes32),"claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])"
"submitAnswer(bytes32,bytes32,uint256)","claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])"
"submitAnswerCommitment(bytes32,bytes32,uint256,address)","claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])"
"submitAnswerByArbitrator(bytes32,bytes32,address)","claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])"
"claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])",withdraw()
"notifyOfArbitrationRequest(bytes32,address)",withdraw()
"submitAnswerReveal(bytes32,bytes32,uint256,uint256)",withdraw()
setQuestionFee(uint256),withdraw()
fundAnswerBounty(bytes32),withdraw()
"submitAnswer(bytes32,bytes32,uint256)",withdraw()
"submitAnswerCommitment(bytes32,bytes32,uint256,address)",withdraw()
"submitAnswerByArbitrator(bytes32,bytes32,address)",withdraw()
"claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])","notifyOfArbitrationRequest(bytes32,address)"
withdraw(),"notifyOfArbitrationRequest(bytes32,address)"
"submitAnswerReveal(bytes32,bytes32,uint256,uint256)","notifyOfArbitrationRequest(bytes32,address)"
setQuestionFee(uint256),"notifyOfArbitrationRequest(bytes32,address)"
fundAnswerBounty(bytes32),"notifyOfArbitrationRequest(bytes32,address)"
"submitAnswer(bytes32,bytes32,uint256)","notifyOfArbitrationRequest(bytes32,address)"
"submitAnswerCommitment(bytes32,bytes32,uint256,address)","notifyOfArbitrationRequest(bytes32,address)"
"submitAnswerByArbitrator(bytes32,bytes32,address)","notifyOfArbitrationRequest(bytes32,address)"
"claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])","submitAnswerReveal(bytes32,bytes32,uint256,uint256)"
withdraw(),"submitAnswerReveal(bytes32,bytes32,uint256,uint256)"
"notifyOfArbitrationRequest(bytes32,address)","submitAnswerReveal(bytes32,bytes32,uint256,uint256)"
setQuestionFee(uint256),"submitAnswerReveal(bytes32,bytes32,uint256,uint256)"
fundAnswerBounty(bytes32),"submitAnswerReveal(bytes32,bytes32,uint256,uint256)"
"submitAnswer(bytes32,bytes32,uint256)","submitAnswerReveal(bytes32,bytes32,uint256,uint256)"
"submitAnswerCommitment(bytes32,bytes32,uint256,address)","submitAnswerReveal(bytes32,bytes32,uint256,uint256)"
"submitAnswerByArbitrator(bytes32,bytes32,address)","submitAnswerReveal(bytes32,bytes32,uint256,uint256)"
"claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])",fundAnswerBounty(bytes32)
withdraw(),fundAnswerBounty(bytes32)
"notifyOfArbitrationRequest(bytes32,address)",fundAnswerBounty(bytes32)
"submitAnswerReveal(bytes32,bytes32,uint256,uint256)",fundAnswerBounty(bytes32)
setQuestionFee(uint256),fundAnswerBounty(bytes32)
"submitAnswer(bytes32,bytes32,uint256)",fundAnswerBounty(bytes32)
"submitAnswerCommitment(bytes32,bytes32,uint256,address)",fundAnswerBounty(bytes32)
"submitAnswerByArbitrator(bytes32,bytes32,address)",fundAnswerBounty(bytes32)
"claimMultipleAndWithdrawBalance(bytes32[],uint256[],bytes32[],address[],uint256[],bytes32[])","submitAnswer(bytes32,bytes32,uint256)"
withdraw(),"submitAnswer(bytes32,bytes32,uint256)"
"notifyOfArbitrationRequest(bytes32,address)","submitAnswer(bytes32,bytes32,uint256)"
"submitAnswerReveal(bytes32,bytes32,uint256,uint256)","submitAnswer(bytes32,bytes32,uint256)"
setQuestionFee(uint256),"submitAnswer(bytes32,bytes32,uint256)"
fundAnswerBounty(bytes32),"submitAnswer(bytes32,bytes32,uint256)"
