Source Function,Target Function
"createCollectible(uint256,address,uint256,uint256)","approve(address,uint256)"
setDirectPaymentThreshold(uint256),"approve(address,uint256)"
unpause(),"approve(address,uint256)"
setCFO(address),"approve(address,uint256)"
claimOwnership(),"approve(address,uint256)"
setMaxDividendDepth(uint256),"approve(address,uint256)"
withdrawPayments(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
setAllowChangePrice(bool),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
"createCollectible(uint256,address,uint256,uint256)","changeInitialPrice(uint256,uint256)"
"setParent(uint256,uint256)","changeInitialPrice(uint256,uint256)"
withdrawPayments(),"changeInitialPrice(uint256,uint256)"
"changeDeedPrice(uint256,uint256)","changeInitialPrice(uint256,uint256)"
buy(uint256),"changeInitialPrice(uint256,uint256)"
"changeInitialPrice(uint256,uint256)","createCollectible(uint256,address,uint256,uint256)"
"setParent(uint256,uint256)","createCollectible(uint256,address,uint256,uint256)"
withdrawPayments(),"createCollectible(uint256,address,uint256,uint256)"
"changeDeedPrice(uint256,uint256)","createCollectible(uint256,address,uint256,uint256)"
buy(uint256),"createCollectible(uint256,address,uint256,uint256)"
"changeInitialPrice(uint256,uint256)","setParent(uint256,uint256)"
"createCollectible(uint256,address,uint256,uint256)","setParent(uint256,uint256)"
withdrawPayments(),"setParent(uint256,uint256)"
"changeDeedPrice(uint256,uint256)","setParent(uint256,uint256)"
buy(uint256),"setParent(uint256,uint256)"
"createCollectible(uint256,address,uint256,uint256)",unpause()
setDirectPaymentThreshold(uint256),unpause()
setCFO(address),unpause()
claimOwnership(),unpause()
setMaxDividendDepth(uint256),unpause()
withdrawPayments(),unpause()
pause(),unpause()
setAllowChangePrice(bool),unpause()
transferOwnership(address),unpause()
"createCollectible(uint256,address,uint256,uint256)",claimOwnership()
setDirectPaymentThreshold(uint256),claimOwnership()
unpause(),claimOwnership()
setCFO(address),claimOwnership()
setMaxDividendDepth(uint256),claimOwnership()
withdrawPayments(),claimOwnership()
pause(),claimOwnership()
setAllowChangePrice(bool),claimOwnership()
transferOwnership(address),claimOwnership()
"changeInitialPrice(uint256,uint256)",withdrawPayments()
"createCollectible(uint256,address,uint256,uint256)",withdrawPayments()
"setParent(uint256,uint256)",withdrawPayments()
"changeDeedPrice(uint256,uint256)",withdrawPayments()
buy(uint256),withdrawPayments()
"changeInitialPrice(uint256,uint256)",ownerOf(uint256)
"createCollectible(uint256,address,uint256,uint256)",ownerOf(uint256)
"setParent(uint256,uint256)",ownerOf(uint256)
withdrawPayments(),ownerOf(uint256)
"changeDeedPrice(uint256,uint256)",ownerOf(uint256)
buy(uint256),ownerOf(uint256)
"createCollectible(uint256,address,uint256,uint256)",pause()
setDirectPaymentThreshold(uint256),pause()
unpause(),pause()
setCFO(address),pause()
claimOwnership(),pause()
setMaxDividendDepth(uint256),pause()
withdrawPayments(),pause()
setAllowChangePrice(bool),pause()
transferOwnership(address),pause()
"changeInitialPrice(uint256,uint256)","changeDeedPrice(uint256,uint256)"
"createCollectible(uint256,address,uint256,uint256)","changeDeedPrice(uint256,uint256)"
"setParent(uint256,uint256)","changeDeedPrice(uint256,uint256)"
withdrawPayments(),"changeDeedPrice(uint256,uint256)"
buy(uint256),"changeDeedPrice(uint256,uint256)"
"createCollectible(uint256,address,uint256,uint256)","transfer(address,uint256)"
setDirectPaymentThreshold(uint256),"transfer(address,uint256)"
unpause(),"transfer(address,uint256)"
setCFO(address),"transfer(address,uint256)"
claimOwnership(),"transfer(address,uint256)"
setMaxDividendDepth(uint256),"transfer(address,uint256)"
withdrawPayments(),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
setAllowChangePrice(bool),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
"createCollectible(uint256,address,uint256,uint256)",takeOwnership(uint256)
setDirectPaymentThreshold(uint256),takeOwnership(uint256)
unpause(),takeOwnership(uint256)
setCFO(address),takeOwnership(uint256)
claimOwnership(),takeOwnership(uint256)
setMaxDividendDepth(uint256),takeOwnership(uint256)
withdrawPayments(),takeOwnership(uint256)
pause(),takeOwnership(uint256)
setAllowChangePrice(bool),takeOwnership(uint256)
transferOwnership(address),takeOwnership(uint256)
"createCollectible(uint256,address,uint256,uint256)",buy(uint256)
setDirectPaymentThreshold(uint256),buy(uint256)
unpause(),buy(uint256)
setCFO(address),buy(uint256)
claimOwnership(),buy(uint256)
setMaxDividendDepth(uint256),buy(uint256)
withdrawPayments(),buy(uint256)
pause(),buy(uint256)
setAllowChangePrice(bool),buy(uint256)
transferOwnership(address),buy(uint256)
"changeInitialPrice(uint256,uint256)",buy(uint256)
"setParent(uint256,uint256)",buy(uint256)
"changeDeedPrice(uint256,uint256)",buy(uint256)
