Source Function,Target Function
setStakingRequirement(uint256),calculateEthereumReceived(uint256)
setSymbol(string),calculateEthereumReceived(uint256)
setName(string),calculateEthereumReceived(uint256)
"approve(address,uint256)",setStakingRequirement(uint256)
"setAdministrator(bytes32,bool)",setStakingRequirement(uint256)
"transfer(address,uint256)",setStakingRequirement(uint256)
reinvest(),setStakingRequirement(uint256)
"approve(address,uint256)","setAdministrator(bytes32,bool)"
"transfer(address,uint256)","setAdministrator(bytes32,bool)"
reinvest(),"setAdministrator(bytes32,bool)"
"approve(address,uint256)","transfer(address,uint256)"
"setAdministrator(bytes32,bool)","transfer(address,uint256)"
reinvest(),"transfer(address,uint256)"
"approve(address,uint256)",setSymbol(string)
"setAdministrator(bytes32,bool)",setSymbol(string)
"transfer(address,uint256)",setSymbol(string)
reinvest(),setSymbol(string)
"approve(address,uint256)",setName(string)
"setAdministrator(bytes32,bool)",setName(string)
"transfer(address,uint256)",setName(string)
reinvest(),setName(string)
