Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
lock(address[]),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
unlock(address[]),"transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
lock(address[]),burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
unlock(address[]),burn(uint256)
burn(uint256),lock(address[])
setPrice(uint256),lock(address[])
closeBuy(bool),lock(address[])
enableTransfer(bool),lock(address[])
transferOwnership(address),lock(address[])
burn(uint256),setPrice(uint256)
closeBuy(bool),setPrice(uint256)
enableTransfer(bool),setPrice(uint256)
transferOwnership(address),setPrice(uint256)
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
lock(address[]),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
unlock(address[]),"transfer(address,uint256)"
burn(uint256),closeBuy(bool)
setPrice(uint256),closeBuy(bool)
enableTransfer(bool),closeBuy(bool)
transferOwnership(address),closeBuy(bool)
burn(uint256),unlock(address[])
setPrice(uint256),unlock(address[])
closeBuy(bool),unlock(address[])
enableTransfer(bool),unlock(address[])
transferOwnership(address),unlock(address[])
burn(uint256),enableTransfer(bool)
setPrice(uint256),enableTransfer(bool)
closeBuy(bool),enableTransfer(bool)
transferOwnership(address),enableTransfer(bool)
burn(uint256),transferOwnership(address)
setPrice(uint256),transferOwnership(address)
closeBuy(bool),transferOwnership(address)
enableTransfer(bool),transferOwnership(address)
