Source Function,Target Function
"init(uint256,address)",stop()
start(),stop()
transferOwnership(address),stop()
"freeze(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256,bytes)","transferFrom(address,address,uint256)"
"unfreeze(address,uint256)","transferFrom(address,address,uint256)"
"init(uint256,address)","transferFrom(address,address,uint256)"
stop(),"freeze(address,uint256)"
"init(uint256,address)","freeze(address,uint256)"
start(),"freeze(address,uint256)"
transferOwnership(address),"freeze(address,uint256)"
stop(),"unfreeze(address,uint256)"
"init(uint256,address)","unfreeze(address,uint256)"
start(),"unfreeze(address,uint256)"
transferOwnership(address),"unfreeze(address,uint256)"
stop(),"init(uint256,address)"
start(),"init(uint256,address)"
transferOwnership(address),"init(uint256,address)"
stop(),start()
"init(uint256,address)",start()
transferOwnership(address),start()
stop(),transferOwnership(address)
"init(uint256,address)",transferOwnership(address)
start(),transferOwnership(address)
