Source Function,Target Function
Expand(address),"Encrypt(uint256,address)"
"changevanity(string,address)","Encrypt(uint256,address)"
HackContract(),"Encrypt(uint256,address)"
"Hacksig(uint256,address)","Encrypt(uint256,address)"
"Encrypt(uint256,address)",Expand(address)
"changevanity(string,address)",Expand(address)
HackContract(),Expand(address)
"Hacksig(uint256,address)",Expand(address)
HackDivs(),acceptOwnership()
HackContract(),acceptOwnership()
transferOwnership(address),acceptOwnership()
"Encrypt(uint256,address)","Hacksig(uint256,address)"
Expand(address),"Hacksig(uint256,address)"
"changevanity(string,address)","Hacksig(uint256,address)"
HackContract(),"Hacksig(uint256,address)"
