Source Function,Target Function
stop(),resume()
setOwner(address),resume()
unlockToken(),resume()
burn(uint256),resume()
"burnFrom(address,uint256)",resume()
resume(),stop()
setOwner(address),stop()
unlockToken(),stop()
burn(uint256),stop()
"burnFrom(address,uint256)",stop()
resume(),setOwner(address)
stop(),setOwner(address)
unlockToken(),setOwner(address)
burn(uint256),setOwner(address)
"burnFrom(address,uint256)",setOwner(address)
resume(),unlockToken()
stop(),unlockToken()
setOwner(address),unlockToken()
burn(uint256),unlockToken()
"burnFrom(address,uint256)",unlockToken()
resume(),"transferFrom(address,address,uint256)"
stop(),"transferFrom(address,address,uint256)"
setOwner(address),"transferFrom(address,address,uint256)"
unlockToken(),"transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"burnFrom(address,uint256)","transferFrom(address,address,uint256)"
resume(),burn(uint256)
stop(),burn(uint256)
setOwner(address),burn(uint256)
unlockToken(),burn(uint256)
"burnFrom(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
resume(),"burnFrom(address,uint256)"
stop(),"burnFrom(address,uint256)"
setOwner(address),"burnFrom(address,uint256)"
unlockToken(),"burnFrom(address,uint256)"
burn(uint256),"burnFrom(address,uint256)"
"transferFrom(address,address,uint256)","burnFrom(address,uint256)"
resume(),"transfer(address,uint256)"
stop(),"transfer(address,uint256)"
setOwner(address),"transfer(address,uint256)"
unlockToken(),"transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"burnFrom(address,uint256)","transfer(address,uint256)"
