Source Function,Target Function
"reLoadXname(bytes32,uint256,uint256)",withdraw()
activate(),withdraw()
"receivePlayerInfo(uint256,address,bytes32,uint256,uint8)",withdraw()
"registerNameXname(string,bytes32,bool,uint8)",withdraw()
"receivePlayerNameList(uint256,bytes32)",withdraw()
"buyXname(bytes32,uint256)",withdraw()
potSwap(),withdraw()
"reLoadXname(bytes32,uint256,uint256)","registerNameXname(string,bytes32,bool,uint8)"
activate(),"registerNameXname(string,bytes32,bool,uint8)"
"receivePlayerInfo(uint256,address,bytes32,uint256,uint8)","registerNameXname(string,bytes32,bool,uint8)"
withdraw(),"registerNameXname(string,bytes32,bool,uint8)"
"receivePlayerNameList(uint256,bytes32)","registerNameXname(string,bytes32,bool,uint8)"
"buyXname(bytes32,uint256)","registerNameXname(string,bytes32,bool,uint8)"
potSwap(),"registerNameXname(string,bytes32,bool,uint8)"
