Source Function,Target Function
"setTokenPrice(address,uint256)",unblockFirstStake()
"mint(uint256,address)",unblockFirstStake()
"mintPresaleWithBlock(address,uint256,uint256,uint256,uint256)",unblockFirstStake()
"setTokenPrice(address,uint256)",unblockSecondStake()
"mint(uint256,address)",unblockSecondStake()
"mintPresaleWithBlock(address,uint256,uint256,uint256,uint256)",unblockSecondStake()
setBonus(uint256),setState(uint8)
acceptOwnership(),setState(uint8)
setPrice(uint256),setState(uint8)
"mint(uint256,address)",setState(uint8)
"investDirect(address,uint256)",setState(uint8)
initialize(address),setState(uint8)
"mintPresale(address,uint256)",setState(uint8)
"mintPresaleWithBlock(address,uint256,uint256,uint256,uint256)",setState(uint8)
transferOwnership(address),setState(uint8)
