Source Function,Target Function
setTokenWallet(address),renounceOwnership()
setEtherWallet(address),renounceOwnership()
transferOwnership(address),renounceOwnership()
setRate(uint256),renounceOwnership()
renounceOwnership(),setTokenWallet(address)
setEtherWallet(address),setTokenWallet(address)
transferOwnership(address),setTokenWallet(address)
setRate(uint256),setTokenWallet(address)
renounceOwnership(),setEtherWallet(address)
setTokenWallet(address),setEtherWallet(address)
transferOwnership(address),setEtherWallet(address)
setRate(uint256),setEtherWallet(address)
renounceOwnership(),transferOwnership(address)
setTokenWallet(address),transferOwnership(address)
setEtherWallet(address),transferOwnership(address)
setRate(uint256),transferOwnership(address)
renounceOwnership(),setRate(uint256)
setTokenWallet(address),setRate(uint256)
setEtherWallet(address),setRate(uint256)
transferOwnership(address),setRate(uint256)
