Source Function,Target Function
setMinimalContribution(uint256),getOverTokens()
setToken(address),getOverTokens()
setTokenUSDRate(uint256),getOverTokens()
setEndDate(uint256),getOverTokens()
unpause(),getOverTokens()
setPermissionManager(address),getOverTokens()
setHardCapToken(uint256),getOverTokens()
newCrowdsale(),getOverTokens()
setStartDate(uint256),getOverTokens()
pause(),getOverTokens()
setHold(address),getOverTokens()
startCrowdsale(),getOverTokens()
receiveEthPrice(uint256),getOverTokens()
setRegistry(address),getOverTokens()
"editContribution(address,uint256,uint256,uint256,uint256)",getOverTokens()
getTokens(),getOverTokens()
removeContributor(address),getOverTokens()
setStatusI(address),getOverTokens()
setHardCap(uint256),getOverTokens()
setSoftCap(uint256),getOverTokens()
"addContributor(address,uint256,uint256,uint256,uint256)",getOverTokens()
setEthPriceProvider(address),getOverTokens()
transferOwnership(address),getOverTokens()
setMinimalContribution(uint256),getTokens()
setToken(address),getTokens()
setTokenUSDRate(uint256),getTokens()
setEndDate(uint256),getTokens()
unpause(),getTokens()
setPermissionManager(address),getTokens()
setHardCapToken(uint256),getTokens()
newCrowdsale(),getTokens()
setStartDate(uint256),getTokens()
pause(),getTokens()
setHold(address),getTokens()
startCrowdsale(),getTokens()
receiveEthPrice(uint256),getTokens()
setRegistry(address),getTokens()
"editContribution(address,uint256,uint256,uint256,uint256)",getTokens()
removeContributor(address),getTokens()
setStatusI(address),getTokens()
setHardCap(uint256),getTokens()
setSoftCap(uint256),getTokens()
"addContributor(address,uint256,uint256,uint256,uint256)",getTokens()
setEthPriceProvider(address),getTokens()
transferOwnership(address),getTokens()
