Source Function,Target Function
"mintFromICO(address,uint256)","approve(address,uint256)"
burn(uint256),"approve(address,uint256)"
pause(),"approve(address,uint256)"
setSaleAddress(address),"approve(address,uint256)"
"mintFromICO(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
setSaleAddress(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"mintFromICO(address,uint256)"
pause(),"mintFromICO(address,uint256)"
setSaleAddress(address),"mintFromICO(address,uint256)"
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"mintFromICO(address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
"mintFromICO(address,uint256)","decreaseApproval(address,uint256)"
burn(uint256),"decreaseApproval(address,uint256)"
pause(),"decreaseApproval(address,uint256)"
setSaleAddress(address),"decreaseApproval(address,uint256)"
"mintFromICO(address,uint256)",pause()
burn(uint256),pause()
setSaleAddress(address),pause()
"mintFromICO(address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
setSaleAddress(address),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
"mintFromICO(address,uint256)","increaseApproval(address,uint256)"
burn(uint256),"increaseApproval(address,uint256)"
pause(),"increaseApproval(address,uint256)"
setSaleAddress(address),"increaseApproval(address,uint256)"
"mintFromICO(address,uint256)",setSaleAddress(address)
burn(uint256),setSaleAddress(address)
pause(),setSaleAddress(address)
