Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"increaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
removeSuperAdmin(address),"transferFrom(address,address,uint256)"
"burnFrom(address,uint256)","transferFrom(address,address,uint256)"
addMinter(address),"transferFrom(address,address,uint256)"
renounceMinter(),"transferFrom(address,address,uint256)"
"decreaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
addSuperAdmin(address),"transferFrom(address,address,uint256)"
"freezeAccount(address,bool)","transferFrom(address,address,uint256)"
renounceOwnership(),"mint(address,uint256)"
freezeToken(bool),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
"approve(address,uint256)",removeSuperAdmin(address)
"transferFrom(address,address,uint256)",removeSuperAdmin(address)
"increaseAllowance(address,uint256)",removeSuperAdmin(address)
"mint(address,uint256)",removeSuperAdmin(address)
"burnFrom(address,uint256)",removeSuperAdmin(address)
addMinter(address),removeSuperAdmin(address)
renounceMinter(),removeSuperAdmin(address)
"decreaseAllowance(address,uint256)",removeSuperAdmin(address)
"transfer(address,uint256)",removeSuperAdmin(address)
addSuperAdmin(address),removeSuperAdmin(address)
"freezeAccount(address,bool)",removeSuperAdmin(address)
"approve(address,uint256)","burnFrom(address,uint256)"
"transferFrom(address,address,uint256)","burnFrom(address,uint256)"
"increaseAllowance(address,uint256)","burnFrom(address,uint256)"
"mint(address,uint256)","burnFrom(address,uint256)"
removeSuperAdmin(address),"burnFrom(address,uint256)"
addMinter(address),"burnFrom(address,uint256)"
renounceMinter(),"burnFrom(address,uint256)"
"decreaseAllowance(address,uint256)","burnFrom(address,uint256)"
"transfer(address,uint256)","burnFrom(address,uint256)"
addSuperAdmin(address),"burnFrom(address,uint256)"
"freezeAccount(address,bool)","burnFrom(address,uint256)"
"mint(address,uint256)",finishMinting()
renounceOwnership(),finishMinting()
freezeToken(bool),finishMinting()
transferOwnership(address),finishMinting()
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"increaseAllowance(address,uint256)","transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
removeSuperAdmin(address),"transfer(address,uint256)"
"burnFrom(address,uint256)","transfer(address,uint256)"
addMinter(address),"transfer(address,uint256)"
renounceMinter(),"transfer(address,uint256)"
"decreaseAllowance(address,uint256)","transfer(address,uint256)"
addSuperAdmin(address),"transfer(address,uint256)"
"freezeAccount(address,bool)","transfer(address,uint256)"
"approve(address,uint256)",addSuperAdmin(address)
"transferFrom(address,address,uint256)",addSuperAdmin(address)
"increaseAllowance(address,uint256)",addSuperAdmin(address)
"mint(address,uint256)",addSuperAdmin(address)
removeSuperAdmin(address),addSuperAdmin(address)
"burnFrom(address,uint256)",addSuperAdmin(address)
addMinter(address),addSuperAdmin(address)
renounceMinter(),addSuperAdmin(address)
"decreaseAllowance(address,uint256)",addSuperAdmin(address)
"transfer(address,uint256)",addSuperAdmin(address)
"freezeAccount(address,bool)",addSuperAdmin(address)
"approve(address,uint256)","freezeAccount(address,bool)"
"transferFrom(address,address,uint256)","freezeAccount(address,bool)"
"increaseAllowance(address,uint256)","freezeAccount(address,bool)"
"mint(address,uint256)","freezeAccount(address,bool)"
removeSuperAdmin(address),"freezeAccount(address,bool)"
"burnFrom(address,uint256)","freezeAccount(address,bool)"
addMinter(address),"freezeAccount(address,bool)"
renounceMinter(),"freezeAccount(address,bool)"
"decreaseAllowance(address,uint256)","freezeAccount(address,bool)"
"transfer(address,uint256)","freezeAccount(address,bool)"
addSuperAdmin(address),"freezeAccount(address,bool)"
