Source Function,Target Function
unpause(),"approve(address,uint256)"
"mint(address,uint256)","approve(address,uint256)"
burn(uint256),"approve(address,uint256)"
pause(),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
"decreaseApproval(address,uint256)","approve(address,uint256)"
"airdropDiff(uint256[],address[])","approve(address,uint256)"
"airdrop(uint256,address[])","approve(address,uint256)"
"increaseApproval(address,uint256)","approve(address,uint256)"
"freezeAccount(address,bool)","approve(address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"airdropDiff(uint256[],address[])","transferFrom(address,address,uint256)"
"airdrop(uint256,address[])","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"freezeAccount(address,bool)","transferFrom(address,address,uint256)"
"mint(address,uint256)",unpause()
burn(uint256),unpause()
pause(),unpause()
transferOwnership(address),unpause()
unpause(),"mint(address,uint256)"
burn(uint256),"mint(address,uint256)"
pause(),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
unpause(),burn(uint256)
"mint(address,uint256)",burn(uint256)
pause(),burn(uint256)
transferOwnership(address),burn(uint256)
"approve(address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"airdropDiff(uint256[],address[])",burn(uint256)
"airdrop(uint256,address[])",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
"freezeAccount(address,bool)",burn(uint256)
unpause(),"decreaseApproval(address,uint256)"
"mint(address,uint256)","decreaseApproval(address,uint256)"
burn(uint256),"decreaseApproval(address,uint256)"
pause(),"decreaseApproval(address,uint256)"
transferOwnership(address),"decreaseApproval(address,uint256)"
"approve(address,uint256)","decreaseApproval(address,uint256)"
"airdropDiff(uint256[],address[])","decreaseApproval(address,uint256)"
"airdrop(uint256,address[])","decreaseApproval(address,uint256)"
"increaseApproval(address,uint256)","decreaseApproval(address,uint256)"
"freezeAccount(address,bool)","decreaseApproval(address,uint256)"
unpause(),pause()
"mint(address,uint256)",pause()
burn(uint256),pause()
transferOwnership(address),pause()
unpause(),"transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"airdropDiff(uint256[],address[])","transfer(address,uint256)"
"airdrop(uint256,address[])","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
"freezeAccount(address,bool)","transfer(address,uint256)"
unpause(),"airdropDiff(uint256[],address[])"
"mint(address,uint256)","airdropDiff(uint256[],address[])"
burn(uint256),"airdropDiff(uint256[],address[])"
pause(),"airdropDiff(uint256[],address[])"
transferOwnership(address),"airdropDiff(uint256[],address[])"
"approve(address,uint256)","airdropDiff(uint256[],address[])"
"decreaseApproval(address,uint256)","airdropDiff(uint256[],address[])"
"airdrop(uint256,address[])","airdropDiff(uint256[],address[])"
"increaseApproval(address,uint256)","airdropDiff(uint256[],address[])"
"freezeAccount(address,bool)","airdropDiff(uint256[],address[])"
unpause(),"transferFrom(address,address,uint256,bytes)"
"mint(address,uint256)","transferFrom(address,address,uint256,bytes)"
burn(uint256),"transferFrom(address,address,uint256,bytes)"
pause(),"transferFrom(address,address,uint256,bytes)"
transferOwnership(address),"transferFrom(address,address,uint256,bytes)"
"approve(address,uint256)","transferFrom(address,address,uint256,bytes)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256,bytes)"
"airdropDiff(uint256[],address[])","transferFrom(address,address,uint256,bytes)"
"airdrop(uint256,address[])","transferFrom(address,address,uint256,bytes)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256,bytes)"
"freezeAccount(address,bool)","transferFrom(address,address,uint256,bytes)"
unpause(),"airdrop(uint256,address[])"
"mint(address,uint256)","airdrop(uint256,address[])"
burn(uint256),"airdrop(uint256,address[])"
pause(),"airdrop(uint256,address[])"
transferOwnership(address),"airdrop(uint256,address[])"
