Source Function,Target Function
"approve(address,uint256)","deleteInvestorTokens(address[],uint256[])"
"transferFrom(address,address,uint256)","deleteInvestorTokens(address[],uint256[])"
"decreaseApproval(address,uint256)","deleteInvestorTokens(address[],uint256[])"
"airdrop(address[],uint256[])","deleteInvestorTokens(address[],uint256[])"
"transfer(address,uint256)","deleteInvestorTokens(address[],uint256[])"
"increaseApproval(address,uint256)","deleteInvestorTokens(address[],uint256[])"
"deleteInvestorTokens(address[],uint256[])","transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"airdrop(address[],uint256[])","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
newTokenUnlockPercent(uint256),"transferFrom(address,address,uint256)"
setNewPrice(uint256),"transferFrom(address,address,uint256)"
newDepositCommission(uint256),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
newInvestCommission(uint256),"transferFrom(address,address,uint256)"
newMinimalEthers(uint256),"transferFrom(address,address,uint256)"
newDepositWallet(address),"transferFrom(address,address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
newWithdraWallet(address),"transferFrom(address,address,uint256)"
newInvestWallet(address),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
newLockTimestamp(uint256),"transferFrom(address,address,uint256)"
newWithdrawCommission(uint256),"transferFrom(address,address,uint256)"
lockUp(bool),"transferFrom(address,address,uint256)"
"deleteInvestorTokens(address[],uint256[])","transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"airdrop(address[],uint256[])","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
newTokenUnlockPercent(uint256),"transfer(address,uint256)"
setNewPrice(uint256),"transfer(address,uint256)"
newDepositCommission(uint256),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
newInvestCommission(uint256),"transfer(address,uint256)"
newMinimalEthers(uint256),"transfer(address,uint256)"
newDepositWallet(address),"transfer(address,uint256)"
unpause(),"transfer(address,uint256)"
newWithdraWallet(address),"transfer(address,uint256)"
newInvestWallet(address),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
newLockTimestamp(uint256),"transfer(address,uint256)"
newWithdrawCommission(uint256),"transfer(address,uint256)"
lockUp(bool),"transfer(address,uint256)"
