Source Function,Target Function
withdraw(),activate()
"reLoadXid(uint256,uint256)",activate()
register(uint256),activate()
activate(),withdraw()
"reLoadXid(uint256,uint256)",withdraw()
register(uint256),withdraw()
activate(),"reLoadXid(uint256,uint256)"
withdraw(),"reLoadXid(uint256,uint256)"
register(uint256),"reLoadXid(uint256,uint256)"
activate(),buy(uint256)
withdraw(),buy(uint256)
"reLoadXid(uint256,uint256)",buy(uint256)
register(uint256),buy(uint256)
activate(),register(uint256)
withdraw(),register(uint256)
"reLoadXid(uint256,uint256)",register(uint256)
