Source Function,Target Function
"approve(address,uint256)",getContractPayout()
"transferTo(address,address,uint256,bytes)",getContractPayout()
"transferFrom(address,address,uint256)",getContractPayout()
"setAdministrator(address,bool)",getContractPayout()
"setBank(address,uint256)",getContractPayout()
reinvest(),getContractPayout()
setIsProjectBonus(bool),calculateEthereumReceived(uint256)
setStakingRequirement(uint256),calculateEthereumReceived(uint256)
injectEtherToDividend(),calculateEthereumReceived(uint256)
injectEtherFromIco(),calculateEthereumReceived(uint256)
setSymbol(string),calculateEthereumReceived(uint256)
"setBank(address,uint256)",calculateEthereumReceived(uint256)
setName(string),calculateEthereumReceived(uint256)
"approve(address,uint256)","takeProjectBonus(address,uint256)"
"transferTo(address,address,uint256,bytes)","takeProjectBonus(address,uint256)"
"transferFrom(address,address,uint256)","takeProjectBonus(address,uint256)"
"setAdministrator(address,bool)","takeProjectBonus(address,uint256)"
"setBank(address,uint256)","takeProjectBonus(address,uint256)"
reinvest(),"takeProjectBonus(address,uint256)"
"approve(address,uint256)",getIsProjectBonus()
"transferTo(address,address,uint256,bytes)",getIsProjectBonus()
"transferFrom(address,address,uint256)",getIsProjectBonus()
"setAdministrator(address,bool)",getIsProjectBonus()
"setBank(address,uint256)",getIsProjectBonus()
reinvest(),getIsProjectBonus()
"approve(address,uint256)",setIsProjectBonus(bool)
"transferTo(address,address,uint256,bytes)",setIsProjectBonus(bool)
"transferFrom(address,address,uint256)",setIsProjectBonus(bool)
"setAdministrator(address,bool)",setIsProjectBonus(bool)
"setBank(address,uint256)",setIsProjectBonus(bool)
reinvest(),setIsProjectBonus(bool)
"approve(address,uint256)",setStakingRequirement(uint256)
"transferTo(address,address,uint256,bytes)",setStakingRequirement(uint256)
"transferFrom(address,address,uint256)",setStakingRequirement(uint256)
"setAdministrator(address,bool)",setStakingRequirement(uint256)
"setBank(address,uint256)",setStakingRequirement(uint256)
reinvest(),setStakingRequirement(uint256)
"approve(address,uint256)","setAdministrator(address,bool)"
"transferTo(address,address,uint256,bytes)","setAdministrator(address,bool)"
"transferFrom(address,address,uint256)","setAdministrator(address,bool)"
"setBank(address,uint256)","setAdministrator(address,bool)"
reinvest(),"setAdministrator(address,bool)"
"approve(address,uint256)",getProjectBonus()
"transferTo(address,address,uint256,bytes)",getProjectBonus()
"transferFrom(address,address,uint256)",getProjectBonus()
"setAdministrator(address,bool)",getProjectBonus()
"setBank(address,uint256)",getProjectBonus()
reinvest(),getProjectBonus()
"approve(address,uint256)",setSymbol(string)
"transferTo(address,address,uint256,bytes)",setSymbol(string)
"transferFrom(address,address,uint256)",setSymbol(string)
"setAdministrator(address,bool)",setSymbol(string)
"setBank(address,uint256)",setSymbol(string)
reinvest(),setSymbol(string)
"approve(address,uint256)","setBank(address,uint256)"
"transferTo(address,address,uint256,bytes)","setBank(address,uint256)"
"transferFrom(address,address,uint256)","setBank(address,uint256)"
"setAdministrator(address,bool)","setBank(address,uint256)"
reinvest(),"setBank(address,uint256)"
"approve(address,uint256)",setName(string)
"transferTo(address,address,uint256,bytes)",setName(string)
"transferFrom(address,address,uint256)",setName(string)
"setAdministrator(address,bool)",setName(string)
"setBank(address,uint256)",setName(string)
reinvest(),setName(string)
