Source Function,Target Function
halt(),finalizeSale()
unhalt(),finalizeSale()
changeBeneficiary(address),finalizeSale()
transferOwnership(address),finalizeSale()
finalizeSale(),halt()
unhalt(),halt()
changeBeneficiary(address),halt()
transferOwnership(address),halt()
finalizeSale(),withdrawal(uint256)
halt(),withdrawal(uint256)
unhalt(),withdrawal(uint256)
changeBeneficiary(address),withdrawal(uint256)
transferOwnership(address),withdrawal(uint256)
finalizeSale(),unhalt()
halt(),unhalt()
changeBeneficiary(address),unhalt()
transferOwnership(address),unhalt()
finalizeSale(),changeBeneficiary(address)
halt(),changeBeneficiary(address)
unhalt(),changeBeneficiary(address)
transferOwnership(address),changeBeneficiary(address)
finalizeSale(),transferOwnership(address)
halt(),transferOwnership(address)
unhalt(),transferOwnership(address)
changeBeneficiary(address),transferOwnership(address)
