Source Function,Target Function
sponsorGas(),setMinimumGasPriceForFutureRefunds(uint256)
"mint(address,uint256)",setMinimumGasPriceForFutureRefunds(uint256)
burn(uint256),setMinimumGasPriceForFutureRefunds(uint256)
claimOwnership(),setMinimumGasPriceForFutureRefunds(uint256)
"setBurnBounds(uint256,uint256)",setMinimumGasPriceForFutureRefunds(uint256)
setRegistry(address),setMinimumGasPriceForFutureRefunds(uint256)
wipeBlacklistedAccount(address),setMinimumGasPriceForFutureRefunds(uint256)
sponsorGas2(),setMinimumGasPriceForFutureRefunds(uint256)
transferOwnership(address),setMinimumGasPriceForFutureRefunds(uint256)
"approve(address,uint256)","mint(address,uint256)"
"delegateApprove(address,uint256,address)","mint(address,uint256)"
wipeBlacklistedAccount(address),"mint(address,uint256)"
"syncAttributeValue(address,bytes32,uint256)","mint(address,uint256)"
"approve(address,uint256)",burn(uint256)
"delegateApprove(address,uint256,address)",burn(uint256)
wipeBlacklistedAccount(address),burn(uint256)
"syncAttributeValue(address,bytes32,uint256)",burn(uint256)
setMinimumGasPriceForFutureRefunds(uint256),"syncAttributeValue(address,bytes32,uint256)"
sponsorGas(),"syncAttributeValue(address,bytes32,uint256)"
"mint(address,uint256)","syncAttributeValue(address,bytes32,uint256)"
burn(uint256),"syncAttributeValue(address,bytes32,uint256)"
claimOwnership(),"syncAttributeValue(address,bytes32,uint256)"
"setBurnBounds(uint256,uint256)","syncAttributeValue(address,bytes32,uint256)"
setRegistry(address),"syncAttributeValue(address,bytes32,uint256)"
wipeBlacklistedAccount(address),"syncAttributeValue(address,bytes32,uint256)"
sponsorGas2(),"syncAttributeValue(address,bytes32,uint256)"
transferOwnership(address),"syncAttributeValue(address,bytes32,uint256)"
